iter	Passed	Remaining
0	143	142989
1	147	73532
2	151	50226
3	155	38609
4	160	31854
5	163	27125
6	167	23798
7	171	21316
8	175	19355
9	177	17531
10	178	16045
11	179	14811
12	181	13758
13	182	12860
14	183	12076
15	185	11390
16	187	10814
17	188	10275
18	189	9792
19	190	9356
20	192	8962
21	193	8606
22	194	8278
23	196	7980
24	197	7704
25	198	7454
26	200	7222
27	202	7014
28	203	6803
29	204	6604
30	205	6417
31	206	6239
32	207	6074
33	208	5917
34	209	5768
35	210	5628
36	211	5496
37	212	5367
38	212	5244
39	213	5127
40	214	5016
41	215	4918
42	216	4821
43	217	4725
44	218	4632
45	219	4543
46	219	4458
47	220	4377
48	221	4299
49	222	4224
50	223	4152
51	223	4082
52	224	4015
53	225	3952
54	226	3890
55	227	3831
56	228	3773
57	228	3717
58	229	3664
59	230	3617
60	231	3567
61	232	3518
62	233	3471
63	234	3428
64	235	3383
65	236	3340
66	236	3298
67	237	3252
68	238	3213
69	238	3174
70	239	3137
71	240	3102
72	241	3066
73	242	3032
74	243	2999
75	244	2969
76	245	2939
77	246	2911
78	247	2881
79	247	2851
80	248	2823
81	249	2795
82	250	2767
83	251	2741
84	251	2711
85	252	2686
86	253	2658
87	254	2633
88	254	2610
89	255	2586
90	256	2563
91	257	2541
92	258	2519
93	259	2498
94	260	2478
95	261	2460
96	262	2439
97	262	2420
98	263	2400
99	264	2381
100	265	2362
101	265	2340
102	266	2322
103	267	2303
104	268	2286
105	269	2269
106	269	2252
107	270	2235
108	271	2219
109	272	2203
110	273	2188
111	274	2172
112	275	2159
113	276	2146
114	276	2131
115	277	2116
116	278	2102
117	279	2087
118	279	2072
119	280	2059
120	281	2045
121	282	2032
122	282	2016
123	283	2003
124	284	1991
125	285	1978
126	286	1966
127	286	1952
128	287	1941
129	288	1930
130	289	1918
131	290	1909
132	291	1899
133	292	1888
134	292	1877
135	293	1866
136	294	1855
137	295	1844
138	296	1834
139	296	1823
140	297	1813
141	298	1803
142	299	1793
143	300	1784
144	300	1774
145	301	1765
146	302	1755
147	303	1746
148	304	1737
149	305	1731
150	306	1723
151	307	1715
152	308	1706
153	309	1697
154	309	1689
155	310	1680
156	311	1672
157	312	1664
158	313	1655
159	313	1647
160	314	1639
161	315	1631
162	316	1624
163	317	1616
164	317	1609
165	318	1602
166	320	1596
167	321	1589
168	321	1582
169	322	1575
170	323	1568
171	324	1560
172	325	1553
173	325	1546
174	326	1539
175	327	1533
176	328	1526
177	329	1519
178	329	1513
179	330	1506
180	331	1498
181	331	1491
182	332	1485
183	333	1479
184	334	1475
185	335	1469
186	336	1463
187	337	1457
188	338	1451
189	338	1445
190	339	1439
191	340	1433
192	341	1427
193	342	1421
194	343	1416
195	343	1410
196	344	1405
197	345	1399
198	346	1394
199	347	1390
200	348	1385
201	349	1380
202	350	1375
203	351	1370
204	351	1364
205	352	1359
206	353	1354
207	354	1349
208	355	1344
209	355	1338
210	356	1333
211	357	1328
212	358	1324
213	359	1319
214	360	1314
215	360	1309
216	361	1305
217	362	1300
218	363	1295
219	364	1292
220	365	1288
221	366	1283
222	367	1278
223	367	1274
224	368	1269
225	369	1265
226	370	1260
227	370	1255
228	371	1251
229	372	1247
230	373	1242
231	374	1238
232	375	1235
233	379	1240
234	380	1240
235	382	1237
236	383	1233
237	383	1228
238	384	1224
239	385	1220
240	386	1216
241	386	1212
242	387	1208
243	388	1204
244	389	1200
245	390	1196
246	391	1192
247	392	1188
248	392	1184
249	394	1182
250	394	1178
251	395	1174
252	396	1170
253	397	1166
254	398	1162
255	398	1159
256	399	1155
257	400	1151
258	401	1148
259	402	1144
260	402	1140
261	403	1137
262	404	1133
263	405	1130
264	406	1126
265	407	1123
266	408	1120
267	409	1117
268	410	1114
269	410	1110
270	411	1107
271	412	1103
272	413	1100
273	414	1096
274	414	1093
275	415	1090
276	416	1086
277	417	1083
278	418	1080
279	418	1077
280	419	1074
281	420	1071
282	421	1067
283	422	1064
284	423	1062
285	424	1059
286	425	1056
287	426	1053
288	426	1050
289	427	1047
290	428	1044
291	429	1041
292	430	1038
293	431	1035
294	432	1032
295	432	1029
296	433	1026
297	434	1023
298	435	1020
299	436	1017
300	437	1014
301	438	1012
302	439	1010
303	440	1007
304	441	1005
305	442	1002
306	442	999
307	443	997
308	444	994
309	445	991
310	446	988
311	447	985
312	447	982
313	448	980
314	449	977
315	450	974
316	451	971
317	451	969
318	453	967
319	454	964
320	454	961
321	455	959
322	456	956
323	457	953
324	458	951
325	458	948
326	459	946
327	460	943
328	461	941
329	462	938
330	463	936
331	463	933
332	464	930
333	465	928
334	466	925
335	467	923
336	468	921
337	469	918
338	469	916
339	470	913
340	471	911
341	472	908
342	473	906
343	474	904
344	474	901
345	475	899
346	476	896
347	477	894
348	478	892
349	479	889
350	479	887
351	480	884
352	481	882
353	482	880
354	483	878
355	484	876
356	485	873
357	485	871
358	486	869
359	487	866
360	488	864
361	489	862
362	490	860
363	490	857
364	491	855
365	492	853
366	493	851
367	494	848
368	495	846
369	495	844
370	496	842
371	497	840
372	498	838
373	499	836
374	500	834
375	501	832
376	503	832
377	504	830
378	505	828
379	506	826
380	507	824
381	508	821
382	508	819
383	509	817
384	510	815
385	511	813
386	512	811
387	513	810
388	514	808
389	515	805
390	516	803
391	516	801
392	517	799
393	518	797
394	519	795
395	520	793
396	520	791
397	521	789
398	522	787
399	523	785
400	524	783
401	525	780
402	525	779
403	526	777
404	528	775
405	528	773
406	529	771
407	530	769
408	531	767
409	532	765
410	532	763
411	533	761
412	534	759
413	535	757
414	536	755
415	537	753
416	538	752
417	538	750
418	539	748
419	540	746
420	541	744
421	542	742
422	543	741
423	544	739
424	545	737
425	545	735
426	546	733
427	547	731
428	548	729
429	549	727
430	549	726
431	550	724
432	551	722
