iter	Passed	Remaining
0	319	318959
1	320	159997
2	322	107066
3	328	81830
4	331	65889
5	335	55621
6	338	47947
7	344	42673
8	346	38110
9	348	34466
10	351	31615
11	353	29104
12	362	27501
13	364	25657
14	367	24138
15	369	22699
16	376	21790
17	383	20947
18	386	19941
19	396	19433
20	398	18566
21	400	17809
22	410	17422
23	412	16765
24	414	16173
25	417	15624
26	424	15307
27	426	14796
28	427	14328
29	429	13884
30	430	13471
31	434	13131
32	435	12766
33	438	12450
34	440	12144
35	441	11830
36	443	11531
37	444	11251
38	452	11139
39	453	10882
40	456	10668
41	458	10449
42	459	10236
43	466	10144
44	468	9946
45	472	9801
46	474	9614
47	475	9432
48	485	9421
49	488	9275
50	490	9132
51	492	8975
52	500	8945
53	502	8795
54	504	8664
55	506	8541
56	515	8530
57	517	8397
58	518	8271
59	520	8158
60	522	8043
61	529	8010
62	530	7894
63	532	7781
64	533	7672
65	534	7568
66	536	7470
67	537	7371
68	538	7271
69	544	7233
70	545	7138
71	546	7049
72	548	6962
73	549	6877
74	551	6797
75	552	6722
76	554	6644
77	559	6611
78	560	6535
79	562	6463
80	563	6388
81	564	6316
82	564	6241
83	566	6177
84	567	6110
85	569	6053
86	579	6083
87	583	6043
88	584	5980
89	585	5919
90	590	5897
91	591	5839
92	593	5784
93	594	5728
94	595	5675
95	597	5622
96	599	5577
97	608	5596
98	609	5546
99	610	5498
100	612	5449
101	613	5400
102	614	5353
103	615	5306
104	617	5259
105	621	5243
106	626	5226
107	627	5183
108	629	5141
109	630	5100
110	631	5060
111	636	5046
112	639	5021
113	640	4981
114	642	4941
115	643	4902
116	644	4862
117	645	4826
118	646	4788
119	647	4750
120	652	4736
121	653	4702
122	656	4680
123	657	4647
124	660	4622
125	662	4596
126	667	4589
127	668	4557
128	670	4526
129	671	4494
130	672	4463
131	674	4434
132	675	4403
133	676	4375
134	682	4373
135	684	4346
136	685	4318
137	689	4306
138	691	4283
139	692	4255
140	697	4251
141	698	4223
142	700	4196
143	701	4171
144	702	4144
145	704	4118
146	705	4093
147	708	4077
148	713	4074
149	715	4055
150	717	4033
151	719	4014
152	722	4002
153	724	3982
154	730	3980
155	731	3957
156	732	3934
157	734	3912
158	737	3899
159	748	3931
160	750	3909
161	751	3886
162	752	3864
163	754	3844
164	755	3822
165	756	3801
166	761	3796
167	763	3779
168	764	3761
169	766	3742
170	767	3722
171	769	3706
172	771	3689
173	777	3689
174	779	3673
175	780	3655
176	782	3636
177	783	3617
178	785	3603
179	787	3585
180	801	3624
181	802	3607
182	811	3623
183	813	3608
184	815	3594
185	826	3618
186	828	3601
187	831	3593
188	834	3580
189	842	3589
190	843	3572
191	845	3556
192	847	3544
193	849	3527
194	850	3511
195	857	3517
196	859	3503
197	862	3493
198	863	3477
199	865	3461
200	873	3472
201	875	3458
202	877	3443
203	878	3427
204	879	3412
205	887	3420
206	890	3412
207	892	3399
208	894	3385
209	896	3373
210	905	3387
211	907	3373
212	909	3358
213	912	3349
214	913	3335
215	924	3356
216	926	3342
217	928	3329
218	929	3314
219	936	3320
220	938	3306
221	939	3294
222	941	3281
223	942	3266
224	944	3254
225	946	3239
226	947	3225
227	948	3211
228	952	3207
229	955	3199
230	958	3190
231	959	3177
232	961	3163
233	962	3150
234	963	3137
235	964	3123
236	969	3122
237	971	3109
238	972	3095
239	973	3082
240	974	3070
241	976	3058
242	979	3052
243	985	3054
244	987	3042
245	989	3031
246	990	3018
247	991	3006
248	992	2994
249	993	2981
250	995	2969
251	998	2965
252	1000	2953
253	1007	2960
254	1010	2953
255	1015	2952
256	1017	2942
257	1019	2931
258	1020	2920
259	1022	2909
260	1024	2900
261	1026	2890
262	1032	2893
263	1033	2882
264	1035	2871
265	1036	2860
266	1038	2850
267	1039	2839
268	1043	2836
269	1046	2828
270	1049	2822
271	1050	2811
272	1052	2801
273	1053	2790
274	1054	2780
275	1056	2770
276	1058	2762
277	1059	2752
278	1061	2741
279	1062	2731
280	1066	2729
281	1068	2720
282	1070	2711
283	1072	2704
284	1074	2694
285	1075	2685
286	1078	2678
287	1084	2681
288	1085	2671
289	1087	2662
290	1088	2652
291	1089	2642
292	1091	2633
293	1092	2624
294	1096	2620
295	1098	2613
296	1100	2604
297	1101	2595
298	1105	2590
299	1106	2581
300	1107	2572
301	1113	2572
302	1114	2564
303	1116	2556
304	1117	2547
305	1119	2538
306	1120	2529
307	1122	2521
308	1127	2520
309	1128	2512
310	1129	2503
311	1131	2494
312	1132	2485
313	1134	2479
314	1136	2472
315	1139	2465
316	1144	2464
317	1146	2458
318	1148	2451
319	1150	2444
320	1151	2436
321	1153	2427
322	1154	2419
323	1159	2419
324	1161	2412
325	1163	2405
326	1167	2403
327	1169	2396
328	1175	2397
329	1178	2392
330	1180	2385
331	1181	2376
332	1182	2368
333	1183	2360
334	1185	2352
335	1186	2344
336	1191	2344
337	1192	2336
338	1194	2329
339	1196	2321
340	1198	2315
341	1201	2311
342	1206	2310
343	1207	2303
344	1209	2296
345	1211	2289
346	1212	2281
347	1214	2276
348	1216	2269
349	1221	2268
350	1223	2262
351	1225	2255
352	1227	2249
353	1228	2241
354	1229	2233
355	1230	2226
356	1231	2218
357	1232	2210
358	1237	2210
359	1239	2203
360	1241	2197
361	1243	2191
362	1245	2185
363	1247	2179
364	1248	2172
365	1250	2165
366	1251	2158
367	1253	2153
368	1255	2146
369	1256	2139
370	1257	2132
371	1258	2124
372	1259	2117
373	1265	2118
374	1266	2111
375	1268	2104
376	1269	2098
377	1271	2091
378	1273	2086
379	1274	2080
380	1279	2078
381	1280	2071
382	1281	2065
383	1283	2058
384	1284	2051
385	1285	2044
386	1286	2037
387	1288	2031
388	1290	2026
389	1297	2028
390	1298	2022
391	1300	2016
392	1304	2015
393	1306	2008
394	1310	2007
395	1311	2000
396	1313	1994
397	1314	1988
398	1316	1983
399	1318	1977
400	1326	1981
401	1328	1976
402	1330	1971
403	1332	1966
404	1334	1960
405	1335	1954
406	1337	1948
407	1342	1947
408	1343	1941
409	1344	1935
410	1346	1928
411	1347	1922
412	1348	1916
413	1349	1910
414	1350	1903
415	1351	1897
416	1352	1891
417	1357	1890
418	1358	1884
419	1360	1878
420	1362	1874
421	1364	1869
422	1366	1863
423	1371	1863
424	1374	1858
425	1375	1853
426	1376	1847
427	1377	1841
428	1379	1836
429	1389	1842
430	1392	1838
431	1393	1832
432	1394	1826
433	1396	1820
434	1397	1814
435	1398	1809
436	1403	1808
437	1405	1802
438	1406	1796
439	1407	1791
440	1408	1785
441	1410	1780
442	1411	1774
443	1413	1769
444	1418	1769
445	1420	1764
446	1421	1758
447	1422	1753
448	1424	1747
449	1425	1741
450	1426	1736
451	1427	1730
452	1428	1725
453	1433	1724
454	1436	1720
455	1439	1717
456	1440	1711
457	1442	1707
458	1443	1701
459	1445	1696
460	1449	1694
461	1451	1690
462	1453	1685
463	1454	1680
464	1456	1675
465	1457	1670
466	1459	1665
467	1465	1665
468	1466	1660
469	1468	1655
470	1470	1652
471	1472	1646
472	1481	1650
473	1482	1645
474	1483	1640
475	1485	1634
476	1486	1629
477	1490	1627
478	1497	1628
479	1498	1623
480	1499	1618
481	1501	1613
482	1502	1608
483	1503	1603
484	1504	1598
485	1506	1593
486	1507	1587
487	1512	1586
488	1513	1581
489	1515	1577
490	1518	1574
491	1519	1569
492	1521	1564
493	1523	1560
494	1524	1555
495	1526	1550
496	1528	1546
497	1529	1541
498	1530	1536
499	1531	1531
500	1532	1526
501	1533	1521
502	1537	1519
503	1539	1515
504	1543	1513
505	1545	1508
506	1546	1503
507	1549	1500
508	1553	1498
509	1555	1494
510	1556	1489
511	1557	1484
512	1559	1480
513	1560	1475
514	1561	1470
515	1562	1466
516	1567	1464
517	1568	1459
518	1570	1455
519	1573	1452
520	1575	1448
521	1576	1444
522	1578	1439
523	1582	1437
524	1583	1432
525	1584	1428
526	1586	1423
527	1587	1418
528	1588	1414
529	1590	1410
530	1592	1406
531	1597	1405
532	1600	1402
533	1602	1398
534	1603	1393
535	1604	1389
536	1606	1384
537	1607	1380
538	1608	1375
539	1612	1373
540	1614	1370
541	1617	1366
542	1618	1362
543	1621	1359
544	1624	1356
545	1629	1354
546	1630	1350
547	1633	1347
548	1634	1342
549	1636	1338
550	1637	1334
551	1639	1330
552	1646	1330
553	1649	1328
554	1650	1323
555	1652	1319
556	1653	1314
557	1654	1310
558	1655	1306
559	1659	1303
560	1660	1299
561	1661	1295
562	1663	1291
563	1664	1287
564	1666	1282
565	1670	1280
566	1673	1278
567	1675	1274
568	1676	1270
569	1678	1265
570	1679	1261
571	1680	1257
572	1681	1253
573	1682	1248
574	1683	1244
575	1684	1240
576	1686	1236
577	1691	1234
578	1693	1231
579	1695	1227
580	1697	1223
581	1701	1221
582	1705	1219
583	1706	1215
584	1707	1211
585	1708	1207
586	1709	1202
587	1710	1198
588	1712	1194
589	1713	1190
590	1715	1187
591	1717	1183
592	1721	1181
593	1722	1177
594	1725	1174
595	1729	1172
596	1731	1168
597	1732	1164
598	1736	1162
599	1737	1158
600	1739	1154
601	1741	1151
602	1744	1148
603	1747	1145
604	1751	1143
605	1753	1140
606	1755	1136
607	1756	1132
608	1757	1128
609	1758	1124
610	1760	1120
611	1761	1116
612	1767	1115
613	1769	1112
614	1771	1108
615	1773	1105
616	1775	1102
617	1777	1098
618	1781	1096
619	1783	1092
